id,user_id,transaction_type,amount,transaction_date,description,category_id
1,1,True,3204026.68,2023-11-05,Sewa apartemen,5
2,5,True,1286044.12,2024-03-03,Hadiah lomba,7
3,2,False,2810612.86,2025-05-19,Snack dan minuman,9
4,5,False,2950435.76,2024-01-03,Pulsa telepon,23
5,4,True,2937823.86,2023-11-05,Bonus proyek,3
6,1,True,8627449.3,2024-04-19,Pendapatan dividen,6
7,1,False,4865847.66,2023-10-12,Belanja kebutuhan rumah,12
8,5,True,6196169.31,2023-10-03,Pendapatan dividen,6
9,1,False,4926255.39,2023-11-04,Listrik,18
10,4,True,2463886.87,2024-02-23,Pembagian dividen,6
11,3,False,3049563.72,2025-01-20,Bioskop,11
12,2,True,3429530.44,2025-06-27,Uang hadiah,7
13,5,True,8585667.28,2024-03-14,Dividen perusahaan,6
14,1,False,1346026.97,2025-02-23,Gym,21
15,3,True,4560687.11,2024-11-04,Jual aset lainnya,8
16,2,True,7704900.84,2024-04-18,Keuntungan investasi,4
17,5,False,1816362.25,2024-12-26,Gym,21
18,4,True,8749926.19,2025-04-26,Gaji bulanan,1
19,2,False,2986081.06,2024-08-17,Kosmetik,22
20,5,False,4855681.1,2025-06-19,Baju baru,17
21,1,False,3845307.68,2023-11-15,Sepatu,17
22,3,False,26194.13,2024-04-18,Langganan data,23
23,5,False,4353887.66,2025-05-08,Belanja kebutuhan rumah,12
24,5,False,1875830.12,2025-01-26,Tagihan listrik,13
25,5,False,2448142.48,2024-07-29,Asuransi kesehatan,19
26,3,True,8902086.39,2023-10-19,Penjualan saham,4
27,4,False,650673.41,2025-02-05,Tagihan air,13
28,2,True,9679266.15,2025-06-29,Uang hadiah,7
29,2,False,4975795.29,2024-08-09,Kelas fitness,21
30,4,False,613810.94,2023-09-27,Pulsa telepon,23
31,3,True,6295961.03,2023-10-04,Penjualan saham,4
32,1,True,8736718.6,2024-12-31,Gaji bulanan,1
33,2,True,2928131.27,2025-02-27,Jual mobil,8
34,5,False,4039410.02,2023-10-28,Tiket pesawat,24
35,1,False,2123657.33,2023-09-17,Sedekah,20
36,1,True,8205332.6,2024-04-03,Dividen perusahaan,6
37,2,True,2261640.67,2024-05-04,Jual mobil,8
38,4,True,4988176.71,2023-11-01,Honor freelance,2
39,1,False,4845291.32,2024-01-10,Belanja bahan makanan,9
40,4,False,4324605.47,2024-01-08,Buku pelajaran,15
41,4,True,3386827.52,2024-05-11,Hadiah acara,7
42,4,False,782436.16,2024-03-02,Hotel,24
43,1,False,3742398.05,2023-09-13,Bensin,10
44,5,False,293829.1,2023-10-14,Pemeriksaan kesehatan,14
45,2,True,7076912.98,2024-09-09,Proyek freelance,2
46,1,False,2898806.1,2025-04-18,Peralatan rumah,16
47,1,False,4674184.23,2025-06-08,Asuransi kesehatan,19
48,3,True,2177904.54,2024-05-26,Uang hadiah,7
49,4,True,1083839.11,2025-02-19,Honor freelance,2
50,1,True,5552962.25,2024-07-15,Penjualan saham,4
51,1,False,1432087.08,2025-01-30,Sedekah,20
52,3,False,3342637.39,2024-05-25,Snack dan minuman,9
53,1,False,1329684.95,2025-02-09,Tagihan listrik,13
54,2,True,7458509.68,2025-06-26,Penjualan saham,4
55,3,False,4527629.09,2023-10-26,Baju baru,17
56,4,False,27692.99,2025-05-06,Bensin,10
57,3,True,5965123.79,2025-02-17,Jual elektronik,8
58,1,True,5910312.6,2025-03-11,Bonus proyek,3
59,5,True,1376459.72,2023-09-02,Bonus proyek,3
60,3,True,7002400.7,2025-02-16,Dividen saham,4
61,4,False,4629561.47,2024-01-06,Tagihan listrik,13
62,2,False,905009.71,2024-09-17,Makan di restoran,9
63,2,True,4442875.5,2024-11-16,Proyek freelance,2
64,2,True,4146925.82,2024-03-08,Jual mobil,8
65,1,False,1648027.14,2024-05-04,Gym,21
66,3,False,3400795.41,2024-06-27,Kelas fitness,21
67,1,True,2607110.35,2023-09-01,Sewa rumah,5
68,1,False,3645439.85,2024-10-12,Sedekah,20
69,5,False,1932125.21,2024-02-03,Belanja online,12
70,3,True,1015221.5,2025-06-26,Uang hadiah,7
71,2,True,9539870.37,2025-04-22,Pendapatan freelance,2
72,3,False,3601573.77,2024-12-24,Belanja kebutuhan rumah,12
73,3,False,2017977.93,2025-02-10,Asuransi kendaraan,19
74,2,True,7095861.51,2025-04-14,Hadiah lomba,7
75,5,True,3734874.54,2024-10-06,Gaji bulanan,1
76,5,False,2330291.07,2025-06-14,Asuransi kendaraan,19
77,2,False,3297665.22,2025-01-01,Konsultasi dokter,14
78,5,True,7055161.04,2024-02-12,Penjualan saham,4
79,2,True,9855424.21,2023-10-06,Keuntungan investasi,4
80,4,False,3594546.12,2024-12-11,Kursus online,15
81,4,True,9033938.44,2024-10-01,Gaji bulanan,1
82,2,True,1451965.47,2023-11-25,Jual mobil,8
83,4,True,7008199.59,2025-03-24,Jual aset lainnya,8
84,3,False,3067135.09,2024-12-21,Langganan data,23
85,4,False,4487068.44,2024-11-21,Langganan data,23
86,4,True,8558765.99,2025-01-07,Dividen saham,4
87,4,False,2204964.24,2024-05-11,Aksesoris,17
88,2,True,9037241.5,2023-12-12,Dividen perusahaan,6
89,2,True,7357772.28,2024-09-20,Bonus tahunan,3
90,4,True,4741968.11,2024-09-26,Jual mobil,8
91,4,False,4285092.84,2024-08-16,Snack dan minuman,9
92,4,True,3687513.87,2024-09-25,Pembagian dividen,6
93,5,False,2446265.09,2024-10-12,Perbaikan rumah,16
94,4,True,7019862.59,2024-01-09,Pembagian dividen,6
95,4,False,4535575.02,2025-02-20,Snack dan minuman,9
96,1,True,2221295.39,2024-01-26,Hadiah acara,7
97,1,True,2904942.56,2024-07-03,Pembagian dividen,6
98,4,True,3270443.79,2024-11-16,Hadiah lomba,7
99,1,False,4999540.06,2024-03-09,Tiket kereta,10
100,1,False,3773623.69,2024-02-13,Bensin,10
101,1,False,639842.66,2023-11-18,Perlengkapan rumah,16
102,5,False,3500330.21,2024-01-11,Paket internet,23
103,5,False,3891181.51,2024-06-06,Belanja pakaian,12
104,1,False,2883225.67,2024-09-02,Air,18
105,2,True,1917111.75,2025-06-23,Dividen saham,4
106,5,False,1742546.79,2025-05-31,Tiket kereta,10
107,3,True,1113869.35,2024-12-06,Pembagian dividen,6
108,1,False,3181569.68,2025-07-17,Sedekah,20
109,2,False,3083402.65,2024-11-30,Aksesoris,17
110,4,False,1618299.87,2023-10-20,Baju baru,17
111,3,False,3754876.65,2025-04-08,Perlengkapan rumah,16
112,4,True,8658575.53,2024-12-04,Jual mobil,8
113,2,True,4063049.59,2025-07-11,Pendapatan sewa,5
114,3,False,437208.68,2024-09-12,Seminar edukasi,15
115,4,False,3456140.6,2025-07-21,Perlengkapan rumah,16
116,4,False,474336.22,2024-09-10,Belanja bahan makanan,9
117,2,True,5259344.4,2024-07-10,Pendapatan dividen,6
118,4,False,1765534.53,2024-04-26,Asuransi kendaraan,19
119,3,True,7491558.98,2023-11-23,Pendapatan freelance,2
120,5,False,965789.46,2024-11-30,Pemeriksaan kesehatan,14
121,3,False,4902748.05,2024-05-22,Listrik,18
122,2,True,1127335.31,2023-11-30,Pendapatan sewa,5
123,3,True,5980230.7,2023-11-30,Gaji lembur,1
124,4,True,6166577.98,2024-11-25,Gaji kantor,1
125,4,True,3272305.51,2023-11-17,Gaji kantor,1
126,1,False,2889335.57,2023-09-16,Langganan Netflix,11
127,2,True,1766628.18,2023-11-22,Sewa apartemen,5
128,5,False,3880710.76,2024-10-27,Perbaikan rumah,16
129,4,True,3748422.2,2023-09-23,Uang hadiah,7
130,5,False,4738475.1,2025-04-24,Belanja pakaian,12
131,2,True,2413513.84,2025-02-08,Proyek freelance,2
132,1,True,5054533.34,2024-11-16,Uang hadiah,7
133,3,True,7362602.47,2024-10-30,Pendapatan sewa,5
134,1,False,3941261.85,2025-03-18,Aksesoris,17
135,2,False,3241697.27,2023-12-16,Perbaikan rumah,16
136,1,True,6355396.34,2024-05-14,Pendapatan sewa,5
137,4,True,7297603.16,2024-12-17,Sewa rumah,5
138,5,False,2994202.94,2024-06-18,Konser musik,11
139,5,True,3060319.74,2025-03-04,Honor freelance,2
140,5,False,2885472.45,2024-11-16,Baju baru,17
141,5,False,915630.84,2024-10-12,Aksesoris,17
142,4,False,1746325.67,2024-06-16,Hotel,24
143,1,False,2064109.0,2024-05-14,Asuransi kendaraan,19
144,4,False,2279581.28,2024-04-07,Tiket kereta,10
145,3,True,8784195.26,2025-05-27,Hadiah lomba,7
146,5,False,946036.88,2025-04-21,Tiket kereta,10
147,4,False,1025755.61,2023-12-05,Ojek online,10
148,3,False,615916.16,2025-04-07,Transportasi lokal,24
149,2,False,2758686.64,2024-09-13,Gas,18
150,1,True,5153031.05,2025-05-17,Proyek freelance,2
151,2,False,2549271.36,2024-09-21,Air,18
152,4,False,2289364.5,2024-08-19,Peralatan rumah,16
153,2,False,4321494.4,2024-09-20,Tagihan air,13
154,3,False,4104541.87,2024-05-24,Sepatu,17
155,5,False,4327650.37,2025-01-25,Hotel,24
156,4,True,5098101.55,2024-02-02,Hadiah acara,7
157,2,False,4281504.75,2023-09-06,Perbaikan rumah,16
158,3,False,1936532.97,2025-05-21,Kelas fitness,21
159,2,False,639968.89,2024-06-27,Ojek online,10
160,1,False,507561.37,2023-08-08,Paket internet,23
161,2,False,383392.96,2024-07-04,Tagihan air,13
162,5,False,4260308.81,2025-01-20,Langganan Netflix,11
163,4,False,4363191.26,2025-04-16,Tiket pesawat,24
164,1,True,9976833.31,2023-10-24,Pendapatan sewa,5
165,4,False,2223955.97,2024-05-25,Belanja online,12
166,1,True,3640309.98,2024-10-07,Gaji kantor,1
167,2,True,6093352.56,2024-01-14,Hadiah lomba,7
168,2,True,6577393.32,2024-12-14,Hadiah lomba,7
169,5,True,6741141.68,2024-04-10,Jual elektronik,8
170,1,False,4507035.02,2025-02-02,Langganan data,23
171,2,True,9888865.26,2025-05-08,Pembagian dividen,6
172,4,False,4228066.59,2024-08-20,Pulsa telepon,23
173,4,True,6147304.23,2024-05-21,Uang hadiah,7
174,3,True,3470323.42,2025-06-25,Uang hadiah,7
175,1,False,4165866.11,2024-03-15,Hotel,24
176,5,False,3186723.21,2024-04-05,Perlengkapan rumah,16
177,2,False,1551575.09,2023-08-27,Tiket kereta,10
178,5,True,1811200.38,2024-06-22,Bonus proyek,3
179,4,True,8078615.3,2025-01-17,Bonus proyek,3
180,5,False,1292280.72,2024-05-21,Konsultasi dokter,14
181,3,False,4814837.53,2024-03-11,Pulsa telepon,23
182,4,False,460611.35,2023-08-07,Sedekah,20
183,3,False,1849242.44,2025-06-11,Langganan data,23
184,3,False,550647.05,2024-11-17,Donasi ke panti asuhan,20
185,1,False,4577126.98,2025-05-17,Asuransi kesehatan,19
186,1,False,4547844.32,2025-05-18,Paket internet,23
187,4,True,9516353.8,2024-12-09,Gaji kantor,1
188,1,True,4497812.48,2025-06-09,Bonus proyek,3
189,5,False,4428214.78,2023-11-02,Tagihan internet,13
190,4,False,173254.27,2024-03-02,Sepatu,17
191,4,False,4278696.46,2025-06-25,Peralatan rumah,16
192,3,False,312144.94,2024-02-03,Sedekah,20
193,1,False,467450.38,2025-05-11,Pulsa telepon,23
194,5,False,3936105.01,2023-11-29,Bensin,10
195,5,True,6277447.75,2024-06-24,Penjualan saham,4
196,2,False,1393601.48,2023-12-04,Belanja bahan makanan,9
197,5,True,1989337.13,2023-12-05,Bonus tahunan,3
198,1,True,6299676.3,2024-01-18,Penjualan saham,4
199,3,True,5734769.74,2023-09-27,Uang hadiah,7
200,4,False,2571057.41,2024-10-28,Donasi ke panti asuhan,20
201,5,True,7545186.97,2025-01-07,Gaji lembur,1
202,3,False,313518.78,2024-09-07,Makan di restoran,9
203,4,False,3564882.56,2023-10-07,Hotel,24
204,1,True,1591140.1,2025-04-23,Bonus proyek,3
205,5,False,1910712.95,2025-01-17,Asuransi jiwa,19
206,3,False,504900.52,2023-11-18,Perawatan kulit,22
207,5,False,2156049.01,2024-09-19,Buku pelajaran,15
208,3,False,2085788.35,2024-06-08,Gym,21
209,4,True,4368709.21,2025-06-26,Sewa apartemen,5
210,4,True,1839070.92,2024-08-08,Proyek freelance,2
211,2,False,3353366.19,2024-07-20,Asuransi kendaraan,19
212,4,False,4842309.14,2024-06-07,Ojek online,10
213,3,True,2392571.58,2024-03-09,Dividen saham,4
214,1,True,2033967.82,2025-03-02,Pembagian dividen,6
215,2,False,3048884.63,2025-07-03,Snack dan minuman,9
216,3,True,7324288.96,2024-07-05,Sewa rumah,5
217,3,True,6096889.85,2023-10-03,Bonus proyek,3
218,2,False,467870.84,2024-02-29,Snack dan minuman,9
219,4,False,795472.29,2024-06-20,Asuransi kendaraan,19
220,5,False,786343.72,2023-09-12,Ojek online,10
